Película;Año;Imdb Score
Kickboxer: Vengeance;2016;9,1
The Lord of the Rings: The Return of the King;2003;8,9
The Lord of the Rings: The Fellowship of the Ring;2001;8,8
The Lord of the Rings: The Two Towers;2002;8,7
Star Wars: Episode IV - A New Hope;1977;8,7
A Beginner's Guide to Snuff;2016;8,7
Queen of the Mountains;2014;8,7
Butterfly Girl;2014;8,7
American History X;1998;8,6
Running Forever;2015;8,6
Raiders of the Lost Ark;1981;8,5
Alien;1979;8,5
Airlift;2016;8,5
Samsara;2011;8,5
The Lives of Others;2006;8,5
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;8,5
Children of Heaven;1997;8,5
Baahubali: The Beginning;2015;8,4
Lion of the Desert;1980;8,4
Princess Mononoke;1997;8,4
Aliens;1986;8,4
Lawrence of Arabia;1962;8,4
U2 3D;2007;8,4
Das Boot;1981;8,4
Rang De Basanti;2006;8,4
A Separation;2011;8,4
The Other Dream Team;2012;8,4
A Charlie Brown Christmas;1965;8,4
Metropolis;1927;8,3
Lake of Fire;2006;8,3
The Sting;1973;8,3
The Great Escape;1963;8,3
The Hunt;2012;8,3
The Apartment;1960;8,3
Judgment at Nuremberg;1961;8,3
Some Like It Hot;1959;8,3
Singin' in the Rain;1952;8,3
No End in Sight;2007;8,3
Hoop Dreams;1994;8,3
The Sound and the Shadow;2014;8,3
Monty Python and the Holy Grail;1975;8,3
The Big Parade;1925;8,3
Godzilla Resurgence;2016;8,2
Godzilla Resurgence;2016;8,2
V for Vendetta;2005;8,2
The Thing;1982;8,2
Howl's Moving Castle;2004;8,2
Pan's Labyrinth;2006;8,2
Incendies;2010;8,2
The Elephant Man;1980;8,2
The Secret in Their Eyes;2009;8,2
Lage Raho Munna Bhai;2006;8,2
Mr. Smith Goes to Washington;1939;8,2
Growing Up Smith;2015;8,2
Rebecca;1940;8,2
The Act of Killing;2012;8,2
On the Waterfront;1954;8,2
Rise of the Entrepreneur: The Search for a Better Way;2014;8,2
Cries & Whispers;1972;8,2
It Happened One Night;1934;8,2
The Brain That Sings;2013;8,2
The Last Waltz;1978;8,2
Solaris;1972;8,1
Hachi: A Dog's Tale;2009;8,1
The Sea Inside;2004;8,1
Tae Guk Gi: The Brotherhood of War;2004;8,1
Barry Lyndon;1975;8,1
Akira;1988;8,1
Annie Hall;1977;8,1
Network;1976;8,1
A Christmas Story;1983;8,1
The Man Who Shot Liberty Valance;1962;8,1
Cat on a Hot Tin Roof;1958;8,1
The Wizard of Oz;1939;8,1
The Best Years of Our Lives;1946;8,1
Amores Perros;2000;8,1
Touching the Void;2003;8,1
In the Shadow of the Moon;2007;8,1
The Square;2013;8,1
The Celebration;1998;8,1
The Conformist;1970;8,1
High Noon;1952;8,1
Destiny;2014;8,1
Woodstock;1970;8,1
Nothing But a Man;1964;8,1
Ordet;1955;8,1
Archaeology of a Woman;2012;8,1
Ratatouille;2007;8,0
Casino Royale;2006;8,0
Blood Diamond;2006;8,0
Serenity;2005;8,0
Winged Migration;2001;8,0
Dances with Wolves;1990;8,0
The Artist;2011;8,0
Brazil;1985;8,0
The Return;2003;8,0
The Diving Bell and the Butterfly;2007;8,0
Dancer in the Dark;2000;8,0
The Exorcist;1973;8,0
Patton;1970;8,0
Casino Royale;2006;8,0
The Straight Story;1999;8,0
Fiddler on the Roof;1971;8,0
Sicko;2007;8,0
My Name Is Khan;2010;8,0
Sling Blade;1996;8,0
Night of the Living Dead;1968;8,0
In Cold Blood;1967;8,0
Bowling for Columbine;2002;8,0
Central Station;1998;8,0
Young Frankenstein;1974;8,0
The Hustler;1961;8,0
Waltz with Bashir;2008;8,0
A Streetcar Named Desire;1951;8,0
You Can't Take It with You;1938;8,0
The Lost Weekend;1945;8,0
Pandora's Box;1929;8,0
Light from the Darkroom;2014;8,0
Intolerance: Love's Struggle Throughout the Ages;1916;8,0
Tupac: Resurrection;2003;8,0
Give Me Shelter;2014;8,0
A Fistful of Dollars;1964;8,0
The Man from Earth;2007;8,0
Night of the Living Dead;1968;8,0
The Insider;1999;7,9
Shrek;2001;7,9
Hero;2002;7,9
The Blues Brothers;1980;7,9
The Right Stuff;1983;7,9
The Untouchables;1987;7,9
The World's Fastest Indian;2005;7,9
Edward Scissorhands;1990;7,9
Ed Wood;1994;7,9
My Fair Lady;1964;7,9
Halloween;1978;7,9
Hero;2002;7,9
Hot Fuzz;2007;7,9
Halloween;1978;7,9
Ernest & Celestine;2012;7,9
Veer-Zaara;2004;7,9
The Boondock Saints;1999;7,9
The Wrestler;2008;7,9
The Train;1964;7,9
The Chorus;2004;7,9
Do the Right Thing;1989;7,9
Lilya 4-Ever;2002;7,9
A Man for All Seasons;1966;7,9
Midnight Cowboy;1969;7,9
Elmer Gantry;1960;7,9
Riding Giants;2004;7,9
Hud;1963;7,9
The Conversation;1974;7,9
Nine Queens;2000;7,9
The Second Mother;2015;7,9
Halloween;1978;7,9
